SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,Eccentricity,IsSingleNode,name,NeighborhoodConnectivity,Node-1-Attributes,Node-2-Attributes,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,shared name,Stress,TopologicalCoefficient
5640,2.54391371,6.45E-04,0.39309509,0,27,5,FALSE, Fitzharris,85.08,historical_people,historical_people,27,0,2,0.69121726,FALSE,0, Fitzharris,173820,0.29398601
1651,2.06933744,0.00573635,0.48324646,0,154,4,FALSE, Fletcher_John,109.4964539,historical_people,historical_people,154,0,12,0.78613251,FALSE,0, Fletcher_John,2031088,0.33590233
7223,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Flush,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Flush,339418,0.38416554
8166,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Foote_Samuel,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Foote_Samuel,339418,0.38416554
16996,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Forbes_Capt,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Forbes_Capt,339418,0.38416554
13354,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Ford_John,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Ford_John,339418,0.38416554
3545,2.48228043,0.00167049,0.40285537,0,75,5,FALSE, Foscari_Fr,75.33333333,fictional_and_archetypal,fictional_and_archetypal,75,0,16,0.70354391,FALSE,0, Foscari_Fr,353892,0.25990676
4245,2.56856703,7.27E-04,0.38932214,0,32,5,FALSE, Foscari_son_hist,79.71428571,historical_people,historical_people,32,0,4,0.68628659,FALSE,0, Foscari_son_hist,200660,0.28623377
1183,2.58089368,1.73E-04,0.38746269,0,13,4,FALSE, Fox_ChasJ,55,historical_people,historical_people,13,0,0,0.68382126,FALSE,0, Fox_ChasJ,29456,0.18947368
17935,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Franklin_Eleanor,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Franklin_Eleanor,339418,0.38416554
18053,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Franklin_John,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Franklin_John,339418,0.38416554
21222,2.7164869,5.26E-04,0.36812252,0,40,4,FALSE, Friday,46.025,fictional_and_archetypal,fictional_and_archetypal,40,0,0,0.65670262,FALSE,0, Friday,148692,0.2103972
5008,2.58705701,2.68E-04,0.38653961,0,16,5,FALSE, Froissart,85.375,historical_people,historical_people,16,0,0,0.6825886,FALSE,0, Froissart,54640,0.3002669
2130,2.67642527,1.80E-04,0.3736327,0,13,5,FALSE, Fuseli_Sophia,84.38461538,historical_people,historical_people,13,0,0,0.66471495,FALSE,0, Fuseli_Sophia,35138,0.32699849
10407,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Garrick_David,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Garrick_David,339418,0.38416554
4974,2.58705701,2.68E-04,0.38653961,0,16,5,FALSE, GastonII,85.375,historical_people,historical_people,16,0,0,0.6825886,FALSE,0, GastonII,54640,0.3002669
4991,2.58705701,2.68E-04,0.38653961,0,16,5,FALSE, GastonIII,85.375,historical_people,historical_people,16,0,0,0.6825886,FALSE,0, GastonIII,54640,0.3002669
699,2.49152542,0.00110292,0.40136054,0,39,4,FALSE, GeoIV,51.8,historical_people,historical_people,39,0,4,0.70169492,FALSE,0, GeoIV,182848,0.1739726
18171,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Gibbon_Edward,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Gibbon_Edward,339418,0.38416554
15588,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Gifford_William,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Gifford_William,339418,0.38416554
20912,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Groby,44.29032258,historical_people,historical_people,31,0,0,0.66348228,FALSE,0, Groby,87698,0.18421414
20784,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Hacker_Ch1,44.29032258,fictional_and_archetypal,fictional_and_archetypal,31,0,0,0.66348228,FALSE,0, Hacker_Ch1,87698,0.18421414
780,2.52234206,4.07E-04,0.39645693,0,26,4,FALSE, Halford_SrHen,54.38461538,historical_people,historical_people,26,0,0,0.69553159,FALSE,0, Halford_SrHen,92252,0.18345229
11586,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Hamlet_H,125.0854701,fictional_and_archetypal,fictional_and_archetypal,117,0,0,0.77134052,FALSE,0, Hamlet_H,339418,0.38416554
20848,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Hammond_Ch1,44.29032258,fictional_and_archetypal,fictional_and_archetypal,31,0,0,0.66348228,FALSE,0, Hammond_Ch1,87698,0.18421414
6048,2.61787365,6.21E-05,0.38198941,0,6,5,FALSE, Harness_Wm,124.1666667,historical_people,historical_people,6,0,0,0.67642527,FALSE,0, Harness_Wm,10654,0.43831554
20402,2.6825886,4.49E-04,0.37277427,0,31,5,FALSE, Harrison,44.29032258,fictional_and_archetypal,fictional_and_archetypal,31,0,0,0.66348228,FALSE,0, Harrison,87698,0.18421414
270,1.96456086,0.02178365,0.50901961,0,230,4,FALSE, Haydon,93.18285714,historical_people,historical_people,230,0,27,0.80708783,FALSE,0, Haydon,4335730,0.28539584
3778,2.57781202,2.49E-04,0.38792588,0,17,5,FALSE, Haydon_Mrs,109.2666667,historical_people,historical_people,17,0,2,0.6844376,FALSE,0, Haydon_Mrs,55182,0.37988304
1593,2.06009245,0.00755631,0.48541511,0,152,4,FALSE, Hazlitt_Wm,108.0763889,historical_people,historical_people,152,0,7,0.78798151,FALSE,0, Hazlitt_Wm,2233382,0.33150585
14293,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Helen_H,125.0854701,fictional_and_archetypal,fictional_and_archetypal,117,0,0,0.77134052,FALSE,0, Helen_H,339418,0.38416554
18760,2.14329738,0.00110734,0.46657081,0,117,4,FALSE, Hemans_Felicia,125.0854701,historical_people,historical_people,117,0,0,0.77134052,FALSE,0, Hemans_Felicia,339418,0.38416554
